accuracy,f1_macro,kappa,fold,test_subject
0.42857142857142855,0.39086907211758365,0.23884603622277356,1,A01T
0.29285714285714287,0.24387440238427813,0.05733523770659055,2,A02T
0.3416370106761566,0.26193253559773955,0.12004671868916839,3,A03T
0.2826086956521739,0.21971971941336335,0.042690724358412924,4,A04T
0.27075812274368233,0.1650537634408602,0.03232277813326889,5,A05T
0.28957528957528955,0.2718660151356884,0.04993919578955763,6,A06T
0.30824372759856633,0.23086327627652783,0.07698241283554441,7,A07T
0.4316546762589928,0.429170007306081,0.2427549349194036,8,A08T
0.2713178294573643,0.2707360758026004,0.02543701024713696,9,A09T
0.3241359914878663,0.2760094297194136,0.09848389432242854,mean,all
