accuracy,f1_macro,kappa,fold,test_subject
0.44642857142857145,0.44120493024671503,0.2614525900211013,1,A01T
0.2357142857142857,0.20970101885496134,-0.01688587187102253,2,A02T
0.3914590747330961,0.3840206852135584,0.18775144528212584,3,A03T
0.27898550724637683,0.2579472140762463,0.03950474791458991,4,A04T
0.2996389891696751,0.20230488509900274,0.06952019808494792,5,A05T
0.25868725868725867,0.2309622831721565,0.010427445673804048,6,A06T
0.3225806451612903,0.2892339797677805,0.09699460570254304,7,A07T
0.34532374100719426,0.3338773749665479,0.12770029136423977,8,A08T
0.29844961240310075,0.2925490315701362,0.06373679250957365,9,A09T
0.3196964095056499,0.29353348921856726,0.09335580496465588,mean,all
