accuracy,f1_macro,kappa,fold,test_subject
0.40714285714285714,0.38528299031477,0.20952380952380956,1,A01T
0.25357142857142856,0.21625563052533214,0.004863449307893841,2,A02T
0.4306049822064057,0.4012614475319278,0.23920400703939348,3,A03T
0.35144927536231885,0.34860300044782805,0.13588582022982876,4,A04T
0.2888086642599278,0.1969882571597533,0.05490223245986248,5,A05T
0.28185328185328185,0.26506920629591435,0.042133100033801774,6,A06T
0.3906810035842294,0.3624238196607097,0.18859273959010503,7,A07T
0.39568345323741005,0.38795966201768195,0.19450864061260398,8,A08T
0.313953488372093,0.3122268230963883,0.08633280646645725,9,A09T
0.34597204828777245,0.3195634263389229,0.1284385116959729,mean,all
